Date,Return - INFY,Return - IRCTC,Return - TATAELXSI
2021-06-01,-0.004699587,-0.004518710,-0.009372767
2021-06-02,-0.006163442,0.012324456,-0.004986979
2021-06-03,0.007978820,0.002007323,-0.006306706
2021-06-04,-0.002878423,-0.000052006,-0.000728574
2021-06-07,0.002886732,0.090076483,0.013137445
2021-06-08,0.016766759,0.023892520,0.035718253
2021-06-09,0.001663256,-0.034338091,-0.008698454
2021-06-10,0.006359076,0.016970836,0.023534182
2021-06-11,0.015867426,-0.005981886,0.006123578
2021-06-14,0.010297895,-0.014017899,-0.002735553
2021-06-15,0.008277449,0.016251673,-0.003123726
2021-06-16,0.004545730,-0.003813261,-0.005858809
2021-06-17,0.009928457,-0.018923905,-0.010886081
2021-06-18,0.005350097,-0.018874345,-0.025278869
2021-06-21,-0.001995610,0.032385542,-0.004217051
2021-06-22,0.007698411,0.002961242,0.017960562
2021-06-23,-0.005754507,-0.002280394,-0.007791962
2021-06-24,0.037288312,-0.002550218,0.021633716
2021-06-25,0.009620318,-0.001977875,0.007620015
2021-06-28,-0.001524522,0.004301905,0.015270734
2021-06-29,-0.005566866,0.001973305,0.046194658
2021-06-30,0.011356002,-0.023056431,0.075281944
2021-07-01,-0.012904874,0.000467099,-0.014067283
2021-07-02,0.004742390,0.012654792,0.043781986
2021-07-05,0.007111814,0.054864033,-0.011400707
2021-07-06,-0.010608316,-0.002162316,-0.015254406
2021-07-07,0.001536311,0.009013793,-0.015224048
2021-07-08,-0.002460678,0.002490340,-0.011208990
2021-07-09,0.001377558,0.006996689,0.022957824
2021-07-12,-0.009629565,0.024284216,0.009789611
2021-07-13,-0.001873583,0.005104132,-0.006870463
2021-07-14,0.020680329,-0.003539352,0.014892088
2021-07-15,0.002473223,0.000838345,0.026373644
2021-07-16,-0.016036246,0.069809952,-0.041106771
2021-07-19,-0.008839886,-0.000885981,-0.018430457
2021-07-20,0.005416163,-0.018086181,-0.007813702
2021-07-22,0.025902326,-0.006510839,0.013423699
2021-07-23,0.000157213,-0.016827668,0.000635734
2021-07-26,0.008456772,-0.005182022,-0.011813642
2021-07-27,-0.000841683,-0.007673062,-0.005560739
2021-07-28,0.001903171,-0.005183886,0.000299347
2021-07-29,0.007100165,0.016399163,0.023928704
2021-07-30,-0.004019790,0.004394488,-0.011936144
2021-08-02,0.013070505,0.059022838,-0.000733595
2021-08-03,0.014495358,-0.000425274,0.023231056
2021-08-04,-0.003594702,0.009441425,-0.016096139
2021-08-05,0.002607275,-0.007325982,0.003104827
2021-08-06,-0.002026003,0.005944442,-0.008230555
2021-08-09,0.007938491,0.064560272,0.009185499
2021-08-10,0.008386912,-0.003247549,-0.006958205
2021-08-11,0.000178893,-0.025515175,-0.010215706
2021-08-12,0.007183051,0.045699309,0.023431053
2021-08-13,0.013375932,-0.010818661,0.008268120
2021-08-16,-0.004555500,-0.011688713,0.017266868
2021-08-17,0.021855198,0.015211439,0.070710831
2021-08-18,-0.004708221,0.018523403,0.001473982
2021-08-20,-0.000288442,-0.026755646,0.002202343
2021-08-23,0.003346922,-0.034841104,-0.009994568
2021-08-24,-0.010294766,0.004189372,0.012934092
2021-08-25,0.008542333,0.027955329,0.013516910
2021-08-26,-0.004523118,-0.005613429,0.010717206
2021-08-27,-0.010939343,0.010298590,0.001450100
2021-08-30,-0.006290964,0.018518515,-0.008606062
2021-08-31,0.004946793,0.020109418,-0.011560533
2021-09-01,-0.016818513,-0.002089433,0.016254583
2021-09-02,0.006764998,0.030477906,0.015344932
2021-09-03,0.006837990,0.014116840,-0.007495562
2021-09-06,0.017493311,0.048259546,-0.001985304
2021-09-07,-0.013725150,0.092574147,0.008859216
2021-09-08,-0.007851653,0.002890298,-0.011159651
2021-09-09,-0.000974472,-0.000424750,0.013187086
2021-09-13,0.000177375,0.042716273,0.016342847
2021-09-14,-0.003398546,0.088102999,-0.004451681
2021-09-15,0.015004553,-0.015032955,0.025345880
2021-09-16,-0.005375530,0.023749053,0.007861735
2021-09-17,-0.006432634,0.024856077,0.065400846
2021-09-20,-0.002039894,-0.040249490,0.062114740
2021-09-21,0.018129559,-0.022479090,-0.036310166
2021-09-22,-0.000901933,0.012898204,-0.007081965
2021-09-23,0.014939731,0.006196699,0.026280639
2021-09-24,0.012223423,-0.001299417,0.024472724
2021-09-27,-0.024208381,0.039479576,-0.024893733
2021-09-28,-0.019783312,0.008005444,-0.009657572
2021-09-29,0.003052590,-0.024692113,-0.011984486
2021-09-30,-0.010075372,0.007519572,-0.000661015
2021-10-01,-0.005999240,-0.001290037,0.033741208
2021-10-04,0.008167418,0.056753558,0.018468613
2021-10-05,0.008369352,0.039212678,-0.008396189
2021-10-06,-0.011371692,0.071349720,0.055443833
2021-10-07,0.010426907,0.050981898,0.029899626
2021-10-08,0.019426361,0.039576633,-0.018359360
2021-10-11,-0.019085202,-0.021326540,0.000176454
2021-10-12,-0.003429981,0.009366064,-0.025534256
2021-10-13,0.014271683,0.023156363,0.007647822
2021-10-14,0.003832231,0.108494918,0.022850949
2021-10-18,0.044528646,0.075802437,0.009321098
2021-10-19,0.016739670,-0.071941461,-0.004581882
2021-10-20,-0.010866311,-0.187081204,-0.017569383
2021-10-21,-0.027020253,0.031323677,-0.043333306
2021-10-22,-0.019302583,0.010780064,0.020503748
2021-10-25,-0.007122921,-0.129841795,-0.036984171
2021-10-26,-0.002254750,0.041555377,0.011533429
2021-10-27,0.014820685,-0.014166362,-0.001540161
2021-10-28,-0.014488521,0.105891999,0.005172886
2021-10-29,-0.021216048,-0.074220020,-0.004273030
